2024-11-20 08:24:51.184 GMT,,,1,,673d9cd2.1,1,,2024-11-20 08:24:50 GMT,,0,LOG,00000,"starting PostgreSQL 17.1 (Debian 17.1-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit",,,,,,,,"PostmasterMain, postmaster.c:1080","","postmaster",,0
2024-11-20 08:24:51.185 GMT,,,1,,673d9cd2.1,2,,2024-11-20 08:24:50 GMT,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-20 08:24:51.185 GMT,,,1,,673d9cd2.1,3,,2024-11-20 08:24:50 GMT,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-20 08:24:51.200 GMT,,,1,,673d9cd2.1,4,,2024-11-20 08:24:50 GMT,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,"ListenServerPort, pqcomm.c:657","","postmaster",,0
2024-11-20 08:24:51.278 GMT,,,30,,673d9cd3.1e,1,,2024-11-20 08:24:51 GMT,,0,LOG,00000,"database system was shut down at 2024-11-20 08:21:25 GMT",,,,,,,,"StartupXLOG, xlog.c:5445","","startup",,0
2024-11-20 08:24:51.354 GMT,,,1,,673d9cd2.1,5,,2024-11-20 08:24:50 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,"process_pm_child_exit, postmaster.c:2483","","postmaster",,0
2024-11-20 08:27:26.500 GMT,"postgres","postgres",41,"172.18.0.10:57758",673d9d6e.29,1,"idle",2024-11-20 08:27:26 GMT,0/2,0,LOG,00000,"statement: SET DateStyle=ISO; SET client_min_messages=notice; SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'; SET client_encoding='utf-8';",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-20 08:27:26.556 GMT,"postgres","postgres",41,"172.18.0.10:57758",673d9d6e.29,2,"SELECT",2024-11-20 08:27:26 GMT,0/2,0,LOG,00000,"AUDIT: SESSION,1,1,READ,SELECT,,,""SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'"",<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-20 08:27:26.560 GMT,"postgres","postgres",41,"172.18.0.10:57758",673d9d6e.29,3,"SET",2024-11-20 08:27:26 GMT,0/0,0,LOG,00000,"duration: 60.285 ms",,,,,,,,"exec_simple_query, postgres.c:1368","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-20 08:27:26.561 GMT,"postgres","postgres",41,"172.18.0.10:57758",673d9d6e.29,4,"idle",2024-11-20 08:27:26 GMT,0/3,0,LOG,00000,"statement: SELECT version()",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
